audio_file,speaker_id,gender,roman_urdu_english,nastaliq_urdu_english,english_translation,sample_rate,duration_s,rms_energy,speech_pct,issues,processed_path,word_count
001.wav,S01,Female,Aaj ki meeting ka agenda kya hai?,آج کی meeting کا agenda کیا ہے؟,What is today's meeting agenda?,16000,3.44,0.1081,77.7,OK,Audios_Processed\001.wav,7
002.wav,S01,Female,Yeh project ki deadline extend nahi ho sakti.,یہ project کی deadline extend نہیں ہو سکتی۔,This project's deadline cannot be extended.,16000,3.42,0.1289,81.3,OK,Audios_Processed\002.wav,8
003.wav,S01,Female,Report submit karne se pehle manager ko review karwa lo.,Report submit کرنے سے پہلے manager کو review کروا لو۔,Get the report reviewed by the manager before submitting.,16000,4.0,0.1176,88.0,OK,Audios_Processed\003.wav,10
004.wav,S01,Female,Client ne feedback diya hai ke design approve nahi hua.,Client نے feedback دیا ہے کہ design approve نہیں ہوا۔,The client has given feedback that the design was not approved.,16000,3.86,0.115,83.8,OK,Audios_Processed\004.wav,10
005.wav,S01,Female,Kal tak yeh presentation ready honi chahiye.,کل تک یہ presentation ready ہونی چاہیے۔,This presentation should be ready by tomorrow.,16000,3.18,0.1267,84.9,OK,Audios_Processed\005.wav,7
006.wav,S01,Female,Team ko yeh task assign kar do aur progress track karte raho.,Team کو یہ task assign کر دو اور progress track کرتے رہو۔,Assign this task to the team and keep tracking the progress.,16000,4.54,0.1298,83.2,OK,Audios_Processed\006.wav,12
007.wav,S01,Female,"Budget ka issue hai, finance department se confirm karo.",Budget کا issue ہے، finance department سے confirm کرو۔,"There is a budget issue, confirm with the finance department.",16000,3.56,0.1097,88.3,OK,Audios_Processed\007.wav,9
008.wav,S01,Female,Yeh research paper ka methodology section weak hai.,یہ research paper کا methodology section weak ہے۔,The methodology section of this research paper is weak.,16000,3.56,0.1118,89.2,OK,Audios_Processed\008.wav,8
009.wav,S01,Female,Literature review mein relevant sources cite nahi kiye gaye.,Literature review میں relevant sources cite نہیں کیے گئے۔,Relevant sources were not cited in the literature review.,16000,4.2,0.1559,87.7,OK,Audios_Processed\009.wav,9
010.wav,S01,Female,Data collection ke liye kitna time chahiye?,Data collection کے لیے کتنا time چاہیے؟,How much time is needed for data collection?,16000,3.56,0.1152,80.0,OK,Audios_Processed\010.wav,7
011.wav,S02,Male,Supervisor ne thesis ka first draft reject kar diya.,Supervisor نے thesis کا first draft reject کر دیا۔,The supervisor rejected the first draft of the thesis.,16000,3.8,0.1354,87.6,OK,Audios_Processed\011.wav,9
012.wav,S02,Male,Yeh algorithm ki time complexity bohat zyada hai.,یہ algorithm کی time complexity بہت زیادہ ہے۔,The time complexity of this algorithm is very high.,16000,3.5,0.1432,91.5,OK,Audios_Processed\012.wav,8
013.wav,S02,Male,Experiment ke results expected outcomes se match nahi kar rahe.,Experiment کے results expected outcomes سے match نہیں کر رہے۔,The experiment results are not matching the expected outcomes.,16000,4.24,0.122,82.3,OK,Audios_Processed\013.wav,10
014.wav,S02,Male,Conference mein paper present karne ka moqa mila hai.,Conference میں paper present کرنے کا موقع ملا ہے۔,An opportunity to present the paper at the conference has been received.,16000,2.9,0.1496,96.7,OK,Audios_Processed\014.wav,9
015.wav,S02,Male,"System ka server down hai, IT department ko inform karo.",System کا server down ہے، IT department کو inform کرو۔,"The system server is down, inform the IT department.",16000,5.22,0.1203,69.3,OK,Audios_Processed\015.wav,10
016.wav,S02,Male,Yeh bug fix hone mein kam az kam do ghante lagenge.,یہ bug fix ہونے میں کم از کم دو گھنٹے لگیں گے۔,This bug will take at least two hours to fix.,16000,4.96,0.1229,60.7,OK,Audios_Processed\016.wav,11
017.wav,S02,Male,Database backup lena mat bhoolna.,Database backup لینا مت بھولنا۔,Do not forget to take a database backup.,16000,2.72,0.1395,88.3,OK,Audios_Processed\017.wav,5
018.wav,S02,Male,Software ka latest version install kar lo.,Software کا latest version install کر لو۔,Install the latest version of the software.,16000,3.9,0.1033,62.4,OK,Audios_Processed\018.wav,7
019.wav,S02,Male,Network connectivity issue ki wajah se kaam ruk gaya hai.,Network connectivity issue کی وجہ سے کام رک گیا ہے۔,Work has stopped due to a network connectivity issue.,16000,4.3,0.1001,72.2,OK,Audios_Processed\019.wav,10
020.wav,S02,Male,Code review ke baad pull request merge karenge.,Code review کے بعد pull request merge کریں گے۔,We will merge the pull request after the code review.,16000,3.78,0.1574,71.2,OK,Audios_Processed\020.wav,8
021.wav,S03,Female,Doctor ne complete bed rest aur proper diet recommend ki hai.,Doctor نے complete bed rest اور proper diet recommend کی ہے۔,The doctor has recommended complete bed rest and a proper diet.,16000,5.04,0.0803,80.0,OK,Audios_Processed\021.wav,11
022.wav,S03,Female,Yeh test results normal range mein nahi hain.,یہ test results normal range میں نہیں ہیں۔,These test results are not within the normal range.,16000,3.24,0.1009,77.1,OK,Audios_Processed\022.wav,8
023.wav,S03,Female,Appointment reschedule karni paregi.,Appointment reschedule کرنی پڑے گی۔,The appointment will have to be rescheduled.,16000,3.92,0.0675,54.7,OK,Audios_Processed\023.wav,4
024.wav,S03,Female,Insurance claim process karne mein waqt lagta hai.,Insurance claim process کرنے میں وقت لگتا ہے۔,Processing an insurance claim takes time.,16000,3.5,0.0976,75.0,OK,Audios_Processed\024.wav,8
025.wav,S03,Female,"Emergency case hai, immediately hospital jana hoga.",Emergency case ہے، immediately hospital جانا ہوگا۔,"It is an emergency case, we will have to go to the hospital immediately.",16000,3.08,0.1035,88.4,OK,Audios_Processed\025.wav,7
026.wav,S03,Female,Yeh investment ka return on investment kaafi low hai.,یہ investment کا return on investment کافی low ہے۔,The return on investment of this investment is quite low.,16000,3.8,0.0891,82.6,OK,Audios_Processed\026.wav,9
027.wav,S03,Female,Tax filing ki last date qareeb aa rahi hai.,Tax filing کی last date قریب آ رہی ہے۔,The last date for tax filing is approaching.,16000,2.68,0.0786,80.1,OK,Audios_Processed\027.wav,9
028.wav,S03,Female,Contract ki terms and conditions dobara review karni parein gi.,Contract کی terms and conditions دوبارہ review کرنی پڑیں گی۔,The terms and conditions of the contract will need to be reviewed again.,16000,4.24,0.0832,82.3,OK,Audios_Processed\028.wav,10
029.wav,S03,Female,Profit margin is quarter mein significantly kam hui hai.,Profit margin اس quarter میں significantly کم ہوئی ہے۔,The profit margin has decreased significantly this quarter.,16000,3.86,0.0781,87.6,OK,Audios_Processed\029.wav,9
030.wav,S03,Female,Vendor ke saath payment dispute resolve nahi hua abhi tak.,Vendor کے ساتھ payment dispute resolve نہیں ہوا ابھی تک۔,The payment dispute with the vendor has not been resolved yet.,16000,4.16,0.1005,76.2,OK,Audios_Processed\030.wav,10
031.wav,S04,Female,"Aaj ka lecture cancel ho gaya hai, notice board check karo.",آج کا lecture cancel ہو گیا ہے، notice board check کرو۔,"Today's lecture has been cancelled, check the notice board.",16000,4.38,0.0986,71.6,OK,Audios_Processed\031.wav,11
032.wav,S04,Female,"Assignment ka word limit exceed ho gaya hai, trim karna parega.",Assignment کا word limit exceed ہو گیا ہے، trim کرنا پڑے گا۔,"The assignment's word limit has been exceeded, it will need to be trimmed.",16000,3.96,0.1006,82.5,OK,Audios_Processed\032.wav,11
033.wav,S04,Female,Semester ke aakhir mein GPA improve karna mushkil hota hai.,Semester کے آخر میں GPA improve کرنا مشکل ہوتا ہے۔,It is difficult to improve GPA at the end of the semester.,16000,3.6,0.0973,81.8,OK,Audios_Processed\033.wav,10
034.wav,S04,Female,Professor ne extra credit ka option diya hai.,Professor نے extra credit کا option دیا ہے۔,The professor has given the option of extra credit.,16000,3.18,0.0929,78.5,OK,Audios_Processed\034.wav,8
035.wav,S04,Female,Online portal par result upload ho gaya hai.,Online portal پر result upload ہو گیا ہے۔,The result has been uploaded on the online portal.,16000,3.18,0.1028,71.5,OK,Audios_Processed\035.wav,8
036.wav,S04,Female,Yeh course ka syllabus bohat demanding hai.,یہ course کا syllabus بہت demanding ہے۔,The syllabus of this course is very demanding.,16000,3.12,0.0948,65.7,OK,Audios_Processed\036.wav,7
037.wav,S04,Female,Group project mein sab ka equal contribution hona chahiye.,Group project میں سب کا equal contribution ہونا چاہیے۔,Everyone should have equal contribution in the group project.,16000,4.2,0.1097,73.9,OK,Audios_Processed\037.wav,9
038.wav,S04,Female,Exam ki preparation ke liye past papers solve karo.,Exam کی preparation کے لیے past papers solve کرو۔,Solve past papers to prepare for the exam.,16000,3.48,0.0822,75.4,OK,Audios_Processed\038.wav,9
039.wav,S04,Female,Library mein reference books available nahi hain.,Library میں reference books available نہیں ہیں۔,Reference books are not available in the library.,16000,3.12,0.1284,85.2,OK,Audios_Processed\039.wav,7
040.wav,S04,Female,Scholarship ke liye apply karne ki deadline kal hai.,Scholarship کے لیے apply کرنے کی deadline کل ہے۔,The deadline to apply for the scholarship is tomorrow.,16000,3.06,0.1048,83.7,OK,Audios_Processed\040.wav,9
041.wav,S05,Female,Loan application process mein kaafi documentation lagti hai.,Loan application process میں کافی documentation لگتی ہے۔,A lot of documentation is required in the loan application process.,16000,4.84,0.1026,80.7,OK,Audios_Processed\041.wav,8
042.wav,S05,Female,Account ki transaction history review karni hogi.,Account کی transaction history review کرنی ہوگی۔,The transaction history of the account will need to be reviewed.,16000,4.36,0.1117,74.9,OK,Audios_Processed\042.wav,7
043.wav,S05,Female,Foreign exchange rate aaj bohat unfavorable hai.,Foreign exchange rate آج بہت unfavorable ہے۔,The foreign exchange rate is very unfavorable today.,16000,4.06,0.0925,81.9,OK,Audios_Processed\043.wav,7
044.wav,S05,Female,Investment portfolio diversify karna risk kam karta hai.,Investment portfolio diversify کرنا risk کم کرتا ہے۔,Diversifying the investment portfolio reduces risk.,16000,4.82,0.0964,85.0,OK,Audios_Processed\044.wav,8
045.wav,S05,Female,Credit score improve kiye baghair mortgage milna mushkil hai.,Credit score improve کیے بغیر mortgage ملنا مشکل ہے۔,It is difficult to get a mortgage without improving the credit score.,16000,4.06,0.1398,84.2,OK,Audios_Processed\045.wav,9
046.wav,S05,Female,Online banking portal par suspicious activity flag hui hai.,Online banking portal پر suspicious activity flag ہوئی ہے۔,Suspicious activity has been flagged on the online banking portal.,16000,4.94,0.1089,79.7,OK,Audios_Processed\046.wav,9
047.wav,S05,Female,"Yeh decision data driven hona chahiye, assumptions par nahi.",یہ decision data driven ہونا چاہیے، assumptions پر نہیں۔,"This decision should be data driven, not based on assumptions.",16000,4.4,0.1196,81.1,OK,Audios_Processed\047.wav,9
048.wav,S05,Female,Stakeholders ko regular updates dete rehna communication gap khatam karta hai.,Stakeholders کو regular updates دیتے رہنا communication gap ختم کرتا ہے۔,Giving regular updates to stakeholders eliminates the communication gap.,16000,5.96,0.116,82.2,OK,Audios_Processed\048.wav,11
049.wav,S05,Female,Problem solving ke liye root cause analysis zaroori hai.,Problem solving کے لیے root cause analysis ضروری ہے۔,Root cause analysis is necessary for problem solving.,16000,4.58,0.1254,79.0,OK,Audios_Processed\049.wav,9
050.wav,S05,Female,Long term planning ke baghair short term wins meaningless hain.,Long term planning کے بغیر short term wins meaningless ہیں۔,Short term wins are meaningless without long term planning.,16000,4.42,0.1123,87.7,OK,Audios_Processed\050.wav,10
051.wav,S06,Female,Aaj ki meeting ka agenda kya hai?,آج کی meeting کا agenda کیا ہے؟,What is today's meeting agenda?,16000,4.0,0.0891,68.8,OK,Audios_Processed\051.wav,7
052.wav,S06,Female,Yeh project ki deadline extend nahi ho sakti.,یہ project کی deadline extend نہیں ہو سکتی۔,This project's deadline cannot be extended.,16000,6.12,0.1092,61.7,OK,Audios_Processed\052.wav,8
053.wav,S06,Female,Report submit karne se pehle manager ko review karwa lo.,Report submit کرنے سے پہلے manager کو review کروا لو۔,Get the report reviewed by the manager before submitting.,16000,5.64,0.1096,73.2,OK,Audios_Processed\053.wav,10
054.wav,S06,Female,Client ne feedback diya hai aur design approve nahi hua.,Client نے feedback دیا ہے اور design approve نہیں ہوا۔,The client has given feedback and the design was not approved.,16000,6.16,0.1087,67.6,OK,Audios_Processed\054.wav,10
055.wav,S06,Female,Team ko yeh task assign kar do aur progress track karte raho.,Team کو یہ task assign کر دو اور progress track کرتے رہو۔,Assign this task to the team and keep tracking the progress.,16000,6.7,0.121,75.0,OK,Audios_Processed\055.wav,12
056.wav,S06,Female,"Budget ka issue hai, finance department se confirm karo.",Budget کا issue ہے، finance department سے confirm کرو۔,"There is a budget issue, confirm with the finance department.",16000,5.72,0.1011,70.5,OK,Audios_Processed\056.wav,9
057.wav,S06,Female,Kal tak yeh presentation ready honi chahiye.,کل تک یہ presentation ready ہونی چاہیے۔,This presentation should be ready by tomorrow.,16000,4.2,0.1024,72.4,OK,Audios_Processed\057.wav,7
058.wav,S06,Female,Main abhi urgent task ke liye office ja rahi hun.,میں ابھی urgent task کے لیے office جا رہی ہوں۔,I am going to the office right now for an urgent task.,16000,5.24,0.1109,75.1,OK,Audios_Processed\058.wav,10
059.wav,S06,Female,Manager ne kaha hai ke project deadline extend nahi hogi.,Manager نے کہا ہے کہ project deadline extend نہیں ہوگی۔,The manager has said that the project deadline will not be extended.,16000,5.52,0.135,81.2,OK,Audios_Processed\059.wav,10
060.wav,S06,Female,Agar tum bimar ho toh leave le lo.,اگر تم بیمار ہو تو leave لے لو۔,"If you are sick, take a leave.",16000,4.32,0.1113,69.7,OK,Audios_Processed\060.wav,8
